"city_key","city_name","incident_code","incident_date","incident_latitude","incident_longitude","incident_address","incident_source_original_type","incident_offense_code","incident_offense","incident_offense_description","incident_offense_detail_description","incident_offense_crime_against","incident_offense_action"
"SFO","San Francisco","103691771013","06-02-2021 11:00:00","37.7656058","-122.4104867","16TH ST \ BRYANT ST","Theft From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at 16TH ST \ BRYANT ST","Property","C"
"SFO","San Francisco","103772107023","06-02-2021 11:00:00","37.7349769","-122.383134","WESTBROOK CT \ HUDSON AVE","Motor Vehicle Theft","240","Motor Vehicle Theft","Motor Vehicle Theft","Motor Vehicle Theft at WESTBROOK CT \ HUDSON AVE","Property","C"
"SFO","San Francisco","103748406244","06-02-2021 11:00:00","37.7733511","-122.4669518","FULTON ST \ 09TH AVE","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at FULTON ST \ 09TH AVE","Property","C"
"SFO","San Francisco","103624906244","06-02-2021 11:00:00","37.8067801","-122.4195773","COLUMBUS AVE \ BEACH ST","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at COLUMBUS AVE \ BEACH ST","Property","C"
"SFO","San Francisco","103804928150","06-02-2021 11:24:00","37.7638426","-122.4510423","GRATTAN ST \ SHRADER ST","Vandalism","290","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property at GRATTAN ST \ SHRADER ST","Property","C"
"SFO","San Francisco","103804927195","06-02-2021 11:24:00","37.7638426","-122.4510423","GRATTAN ST \ SHRADER ST","Trespass","90J","Trespass of Real Property","Trespass of Real Property","Trespass of Real Property at GRATTAN ST \ SHRADER ST","Society","C"
"SFO","San Francisco","103623412168","06-02-2021 11:34:00","37.7622293","-122.402327","18TH ST \ RHODE ISLAND ST","Weapons Offense","520","Weapon Law Violations","Weapon Law Violations","Weapon Law Violations at 18TH ST \ RHODE ISLAND ST","Society","C"
"SFO","San Francisco","103623404083","06-02-2021 11:34:00","37.7622293","-122.402327","18TH ST \ RHODE ISLAND ST","Aggravated Assault","13A","Assault Offenses","Aggravated Assault","Aggravated Assault at 18TH ST \ RHODE ISLAND ST","Person","C"
"SFO","San Francisco","103623462050","06-02-2021 11:34:00","37.7622293","-122.402327","18TH ST \ RHODE ISLAND ST","Warrant","90Z","All Other Offenses","All Other Offenses","All Other Offenses at 18TH ST \ RHODE ISLAND ST","Person, Property, or Society","C"
"SFO","San Francisco","103625407045","06-02-2021 11:35:00","37.7552139","-122.390922","23RD ST \ INDIANA ST","Recovered Vehicle","90Z","All Other Offenses","All Other Offenses","All Other Offenses at 23RD ST \ INDIANA ST","Person, Property, or Society","C"
